"ZIP
code [1]",Size of adjusted gross income,Number of returns,Adjusted gross income (AGI) [5],Total income Amount
06081,"$1 under $25,000",210,2538,2560
06081,"$25,000 under $50,000",190,6668,6830
06081,"$50,000 under $75,000",120,7188,7291
06081,"$75,000 under $100,000",90,8094,8165
06081,"$100,000 under $200,000",120,16741,16967
06081,"$200,000 or more",20,6542,6542
,,,,
06082,,"21,060","1,304,749","1,319,182"
06082,"$1 under $25,000",5990,74586,75714
06082,"$25,000 under $50,000",4930,182151,184510
06082,"$50,000 under $75,000",3710,229392,231818
06082,"$75,000 under $100,000",2530,219364,221269
06082,"$100,000 under $200,000",3470,461083,465290
06082,"$200,000 or more",430,138173,140581
,,,,
06084,,"7,180","728,152","738,892"
06084,"$1 under $25,000",1720,17798,18109
06084,"$25,000 under $50,000",1010,37966,38665
06084,"$50,000 under $75,000",890,55333,56226
06084,"$75,000 under $100,000",820,71226,72434
06084,"$100,000 under $200,000",1940,273556,276540
06084,"$200,000 or more",800,272273,276918
,,,,
06085,,"3,580","362,098","368,208"
06085,"$1 under $25,000",890,9740,9947
06085,"$25,000 under $50,000",610,22529,22996
06085,"$50,000 under $75,000",500,30899,31398
06085,"$75,000 under $100,000",360,31124,31733
06085,"$100,000 under $200,000",820,116035,117584
06085,"$200,000 or more",400,151771,154550
,,,,
06088,,"2,660","159,589","161,139"
06088,"$1 under $25,000",740,9452,9580
06088,"$25,000 under $50,000",640,23501,23801
06088,"$50,000 under $75,000",570,35390,35779
06088,"$75,000 under $100,000",330,28557,28818
06088,"$100,000 under $200,000",340,44962,45434
06088,"$200,000 or more",40,17727,17727
,,,,
06089,,"1,650","210,440","214,450"
06089,"$1 under $25,000",420,4495,4626
06089,"$25,000 under $50,000",230,8292,8463
06089,"$50,000 under $75,000",200,12548,12736
06089,"$75,000 under $100,000",170,14800,15061
06089,"$100,000 under $200,000",370,52178,52959
06089,"$200,000 or more",260,118127,120605
,,,,
06090,,570,"85,682","87,308"
06090,"$1 under $25,000",130,1315,1369
06090,"$25,000 under $50,000",60,2187,2226
06090,"$50,000 under $75,000",60,3776,3947
06090,"$75,000 under $100,000",50,4201,4201
06090,"$100,000 under $200,000",150,20819,21099
06090,"$200,000 or more",120,53384,54466
,,,,
06092,,"1,980","367,704","375,014"
06092,"$1 under $25,000",480,4310,4433
06092,"$25,000 under $50,000",170,6368,6631
06092,"$50,000 under $75,000",130,8131,8306
06092,"$75,000 under $100,000",170,14897,15279
06092,"$100,000 under $200,000",510,74015,75471
06092,"$200,000 or more",520,259983,264894
,,,,
06093,,"1,830","203,686","207,369"
06093,"$1 under $25,000",440,4830,4941
06093,"$25,000 under $50,000",310,11234,11471
06093,"$50,000 under $75,000",230,14392,14599
06093,"$75,000 under $100,000",210,18374,18645
06093,"$100,000 under $200,000",450,62098,62978
06093,"$200,000 or more",190,92758,94735
,,,,
06095,,"15,970","1,083,036","1,096,321"
06095,"$1 under $25,000",4370,52609,53531
06095,"$25,000 under $50,000",3690,136781,138690
06095,"$50,000 under $75,000",2700,166815,168917
06095,"$75,000 under $100,000",1830,158118,159538
06095,"$100,000 under $200,000",2750,374045,377721
06095,"$200,000 or more",630,194668,197924
,,,,
06096,,"6,910","411,912","416,093"
06096,"$1 under $25,000",1950,23864,24214
06096,"$25,000 under $50,000",1690,62765,63558
06096,"$50,000 under $75,000",1280,78976,79727
06096,"$75,000 under $100,000",810,69810,70358
06096,"$100,000 under $200,000",1040,138251,139413
06096,"$200,000 or more",140,38246,38823
,,,,
06098,,"5,030","282,585","286,445"
06098,"$1 under $25,000",1650,20795,21178
06098,"$25,000 under $50,000",1300,47451,48033
06098,"$50,000 under $75,000",860,52563,53213
06098,"$75,000 under $100,000",540,47057,47538
06098,"$100,000 under $200,000",580,75905,76981
06098,"$200,000 or more",100,38814,39502
,,,,
06103,,"1,380","179,700","182,625"
06103,"$1 under $25,000",250,3252,3348
06103,"$25,000 under $50,000",250,9260,9446
06103,"$50,000 under $75,000",320,20222,20509
06103,"$75,000 under $100,000",200,17458,17571
06103,"$100,000 under $200,000",250,33990,34498
06103,"$200,000 or more",110,95518,97253
,,,,
06105,,"8,340","430,564","437,679"
06105,"$1 under $25,000",3610,47112,47725
06105,"$25,000 under $50,000",2580,91674,92530
06105,"$50,000 under $75,000",1010,61110,61928
06105,"$75,000 under $100,000",410,34600,34917
06105,"$100,000 under $200,000",420,56756,58116
06105,"$200,000 or more",310,139312,142463
,,,,
06106,,"15,520","503,157","506,971"
06106,"$1 under $25,000",7790,101674,102710
06106,"$25,000 under $50,000",4930,172737,173842
06106,"$50,000 under $75,000",1670,101225,102004
