zipcode,income_bucket,n_returns,agi,total_income,city
6232,5,400,55701,56683,Andover
6232,6,100,32662,33471,Andover
6234,1,1160,13816,13996,Brooklyn
6234,2,850,31155,31602,Brooklyn
6234,3,600,36920,37391,Brooklyn
6234,4,440,37792,38244,Brooklyn
6234,5,720,96666,98048,Brooklyn
6234,6,120,40571,41274,Brooklyn
6235,1,330,3977,4064,Chaplin
6235,2,270,9776,9967,Chaplin
6235,3,200,12148,12331,Chaplin
6235,4,120,10187,10300,Chaplin
6235,5,180,23225,23505,Chaplin
6235,6,20,6181,6181,Chaplin
6237,1,630,7367,7599,Columbia
6237,2,480,18072,18576,Columbia
6237,3,420,25669,26054,Columbia
6237,4,380,32844,33244,Columbia
6237,5,710,97360,98485,Columbia
6237,6,180,56304,57360,Columbia
6238,1,1540,18148,18452,Coventry
6238,2,1170,43704,44498,Coventry
6238,3,970,60218,61134,Coventry
6238,4,790,68332,69325,Coventry
6238,5,1510,206224,208834,Coventry
6238,6,340,102289,104696,Coventry
6239,1,1690,22018,22220,Danielson
6239,2,1530,55103,55536,Danielson
6239,3,840,51714,52177,Danielson
6239,4,500,42843,43180,Danielson
6239,5,600,78848,79546,Danielson
6239,6,70,21820,22471,Danielson
6241,1,940,12464,12590,Dayville
6241,2,800,29552,29914,Dayville
6241,3,530,32827,33212,Dayville
6241,4,370,32267,32539,Dayville
6241,5,460,60396,61161,Dayville
6241,6,60,26737,27392,Dayville
6242,1,170,1976,2083,Eastford
6242,2,150,5453,5555,Eastford
6242,3,120,7287,7398,Eastford
6242,4,100,8400,8485,Eastford
6242,5,150,19607,19813,Eastford
6242,6,30,10015,10015,Eastford
6243,1,40,526,526,East Killingly
6243,2,40,1375,1375,East Killingly
6243,3,20,1308,1393,East Killingly
6243,4,20,1673,1673,East Killingly
6243,5,20,2924,2924,East Killingly
6243,6,0,0,0,East Killingly
6247,1,330,4143,4214,Hampton
6247,2,230,8517,8675,Hampton
6247,3,220,13544,13770,Hampton
6247,4,180,15722,15941,Hampton
6247,5,230,30804,31561,Hampton
6247,6,40,11231,11231,Hampton
6248,1,720,7167,7340,Hebron
6248,2,420,15369,15655,Hebron
6248,3,310,19461,19884,Hebron
6248,4,270,23474,23857,Hebron
6248,5,730,101812,103438,Hebron
6248,6,320,110321,111452,Hebron
6249,1,960,11438,11669,Lebanon
6249,2,660,24588,25102,Lebanon
6249,3,570,35359,36166,Lebanon
6249,4,490,42322,42836,Lebanon
6249,5,790,108449,109732,Lebanon
6249,6,150,43375,44299,Lebanon
6250,1,650,7570,7725,Mansfield Center
6250,2,440,16029,16372,Mansfield Center
6250,3,360,22675,23008,Mansfield Center
6250,4,300,26203,26598,Mansfield Center
6250,5,500,68773,69633,Mansfield Center
6250,6,120,39885,41142,Mansfield Center
6254,1,250,2984,3043,North Franklin
6254,2,190,7116,7215,North Franklin
6254,3,150,9654,9743,North Franklin
6254,4,130,11280,11469,North Franklin
6254,5,200,26940,27624,North Franklin
6254,6,40,13602,13602,North Franklin
6255,1,600,7667,7798,North Grosvenordale
6255,2,550,20278,20539,North Grosvenordale
6255,3,400,24621,24819,North Grosvenordale
6255,4,260,22291,22446,North Grosvenordale
6255,5,340,44588,45200,North Grosvenordale
6255,6,30,8332,8332,North Grosvenordale
6256,1,360,4756,4821,North Windham
6256,2,340,12431,12563,North Windham
6256,3,210,12652,12781,North Windham
6256,4,120,9955,9997,North Windham
6256,5,120,18001,18188,North Windham
6256,6,0,0,0,North Windham
6259,1,460,5291,5401,Pomfret Center
6259,2,340,12548,12840,Pomfret Center
6259,3,310,19253,19666,Pomfret Center
6259,4,210,18433,18857,Pomfret Center
6259,5,390,54667,55448,Pomfret Center
6259,6,130,49988,51048,Pomfret Center
6260,1,1530,19232,19466,Putnam
6260,2,1260,45424,45940,Putnam
6260,3,690,42206,42603,Putnam
6260,4,410,35042,35411,Putnam
6260,5,520,67360,68169,Putnam
6260,6,70,20777,21278,Putnam
6262,1,90,973,973,Quinebaug
6262,2,100,3604,3668,Quinebaug
6262,3,50,3244,3244,Quinebaug
6262,4,40,3185,3213,Quinebaug
6262,5,40,5052,5052,Quinebaug
6262,6,0,0,0,Quinebaug
6264,1,70,843,843,Scotland
6264,2,70,2685,2768,Scotland
6264,3,50,3295,3295,Scotland
6264,4,50,4491,4584,Scotland
6264,5,70,9088,9088,Scotland
6264,6,0,0,0,Scotland
6266,1,90,1191,1191,South Windham
6266,2,90,3157,3234,South Windham
6266,3,60,3331,3331,South Windham
6266,4,30,2980,3001,South Windham
6266,5,40,5684,5684,South Windham
6266,6,0,0,0,South Windham
6268,1,930,10295,10577,Storrs Mansfield
6268,2,550,19770,20164,Storrs Mansfield
6268,3,400,24818,25203,Storrs Mansfield
6268,4,320,27793,28185,Storrs Mansfield
6268,5,680,95635,96964,Storrs Mansfield
6268,6,310,101974,104034,Storrs Mansfield
6277,1,540,6711,6820,Thompson
6277,2,490,17743,18175,Thompson
6277,3,340,21111,21329,Thompson
6277,4,250,21855,22050,Thompson
6277,5,400,53739,54433,Thompson
6277,6,70,29048,29446,Thompson
6278,1,580,7259,7381,Ashford
6278,2,480,17618,17874,Ashford
6278,3,340,21400,21623,Ashford
6278,4,270,23649,23833,Ashford
6278,5,430,58039,58779,Ashford
6278,6,80,24124,24729,Ashford
6279,1,780,9724,9908,Willington
6279,2,530,19240,19562,Willington
6279,3,430,26447,26807,Willington
6279,4,300,26409,26683,Willington
6279,5,610,82839,83788,Willington
6279,6,120,43766,44630,Willington
6280,1,450,5904,5995,Windham
6280,2,420,15370,15542,Windham
6280,3,270,16723,16935,Windham
6280,4,190,16260,16452,Windham
6280,5,230,29525,30086,Windham
6280,6,40,12125,12125,Windham
6281,1,820,9070,9317,Woodstock
6281,2,580,21326,21906,Woodstock
6281,3,520,32146,33054,Woodstock
6281,4,370,32373,32944,Woodstock
6281,5,730,100147,101593,Woodstock
6281,6,240,107674,110340,Woodstock
6282,1,130,1481,1522,Woodstock Valley
6282,2,100,3730,3785,Woodstock Valley
6282,3,100,6224,6261,Woodstock Valley
6282,4,70,6347,6459,Woodstock Valley
6282,5,120,15268,15524,Woodstock Valley
6282,6,30,9120,9120,Woodstock Valley
6320,1,5840,77328,78183,New London
6320,2,3600,127867,129033,New London
6320,3,1490,90576,91468,New London
6320,4,740,63376,63955,New London
6320,5,820,110080,111675,New London
6320,6,160,83391,85017,New London
6330,1,450,5745,5840,Baltic
6330,2,340,12318,12416,Baltic
6330,3,240,15115,15244,Baltic
6330,4,170,14698,14882,Baltic
6330,5,200,27239,27508,Baltic
6330,6,30,8397,8397,Baltic
6331,1,690,8782,8970,Canterbury
6331,2,550,20031,20333,Canterbury
6331,3,440,27370,27628,Canterbury
6331,4,320,27980,28243,Canterbury
6331,5,490,66023,66725,Canterbury
6331,6,60,14363,14608,Canterbury
6333,1,890,9375,9556,East Lyme
6333,2,520,19117,19557,East Lyme
6333,3,440,27676,28206,East Lyme
6333,4,340,29584,30161,East Lyme
6333,5,900,127740,129632,East Lyme
6333,6,530,217649,220723,East Lyme
6334,1,340,4183,4242,Bozrah
6334,2,290,10650,10849,Bozrah
6334,3,220,13674,13822,Bozrah
6334,4,170,14366,14494,Bozrah
6334,5,230,30679,31133,Bozrah
6334,6,40,17561,17928,Bozrah
6335,1,760,8931,9068,Gales Ferry
6335,2,590,21849,22138,Gales Ferry
6335,3,510,31709,32051,Gales Ferry
6335,4,430,37632,37981,Gales Ferry
6335,5,820,112928,113746,Gales Ferry
6335,6,190,54205,54720,Gales Ferry
6339,1,1080,12649,12892,Ledyard
6339,2,920,34081,34666,Ledyard
6339,3,730,44801,45410,Ledyard
6339,4,460,39791,40147,Ledyard
6339,5,870,117075,118264,Ledyard
6339,6,180,62785,64008,Ledyard
6340,1,4240,55948,56620,Groton
6340,2,3850,141403,143013,Groton
6340,3,2440,150273,151902,Groton
6340,4,1360,117325,118359,Groton
6340,5,1570,207974,210138,Groton
6340,6,400,210860,213950,Groton
6351,1,2330,29116,29494,Jewett City
6351,2,1990,72656,73431,Jewett City
6351,3,1240,76412,77258,Jewett City
6351,4,860,74368,75175,Jewett City
6351,5,1250,166163,167749,Jewett City
6351,6,190,53910,55336,Jewett City
6353,1,50,742,770,Oxoboxo River
6353,2,80,2633,2633,Oxoboxo River
6353,3,30,2049,2049,Oxoboxo River
6353,4,30,3244,3244,Oxoboxo River
6353,5,0,0,0,Oxoboxo River
6353,6,0,0,0,Oxoboxo River
6354,1,890,11843,12075,Moosup
6354,2,670,24669,24916,Moosup
6354,3,420,25794,26056,Moosup
6354,4,290,24733,24939,Moosup
6354,5,300,39334,39794,Moosup
6354,6,30,10121,10121,Moosup
6355,1,1610,18765,19328,Mystic
6355,2,1160,42562,43398,Mystic
6355,3,960,59919,61024,Mystic
6355,4,760,66272,67310,Mystic
6355,5,1600,220536,223761,Mystic
6355,6,680,272214,277298,Mystic
6357,1,1480,17374,17778,Niantic
6357,2,1040,38361,39095,Niantic
6357,3,900,55766,56803,Niantic
6357,4,720,62742,63550,Niantic
6357,5,1260,172293,174830,Niantic
6357,6,400,155583,158971,Niantic
6359,1,620,7007,7255,North Stonington
6359,2,530,19727,20103,North Stonington
6359,3,420,26641,27108,North Stonington
6359,4,310,27106,27736,North Stonington
6359,5,590,79959,80814,North Stonington
6359,6,170,69802,70926,North Stonington
6360,1,7000,93657,94868,Norwich
6360,2,5340,191628,193357,Norwich
6360,3,2520,153939,155551,Norwich
6360,4,1380,119481,120570,Norwich
6360,5,1590,209427,211553,Norwich
6360,6,270,92557,94841,Norwich
6365,1,610,7739,7856,Preston
6365,2,500,18824,19180,Preston
6365,3,390,23687,24070,Preston
6365,4,270,23352,23608,Preston
6365,5,510,69065,70048,Preston
6365,6,80,25991,26384,Preston
6370,1,940,12031,12211,Oakdale
6370,2,740,27329,27668,Oakdale
6370,3,600,37079,37484,Oakdale
6370,4,430,37034,37292,Oakdale
6370,5,800,108552,109143,Oakdale
6370,6,110,40025,40766,Oakdale
6371,1,1220,12690,13178,Old Lyme
6371,2,770,28524,29316,Old Lyme
6371,3,620,38589,39485,Old Lyme
6371,4,500,43108,44203,Old Lyme
6371,5,1130,159098,162235,Old Lyme
6371,6,770,505314,513937,Old Lyme
6374,1,1130,14907,15024,Plainfield
6374,2,1010,36768,37054,Plainfield
6374,3,680,41961,42339,Plainfield
6374,4,450,38529,38831,Plainfield
6374,5,460,59451,60082,Plainfield
6374,6,40,11851,11851,Plainfield
6375,1,530,6382,6517,Quaker Hill
6375,2,440,16057,16258,Quaker Hill
6375,3,310,19447,19666,Quaker Hill
6375,4,270,23415,23640,Quaker Hill
6375,5,400,52174,52747,Quaker Hill
6375,6,60,16672,17043,Quaker Hill
6377,1,370,4476,4618,Sterling
6377,2,310,11165,11338,Sterling
6377,3,250,15587,15777,Sterling
6377,4,150,13276,13391,Sterling
6377,5,250,36007,36346,Sterling
6377,6,0,0,0,Sterling
6378,1,700,7784,8047,Stonington
6378,2,460,16673,17453,Stonington
6378,3,360,22016,22493,Stonington
6378,4,300,26286,26789,Stonington
6378,5,610,87298,89058,Stonington
6378,6,460,235118,240740,Stonington
6379,1,1390,16296,16656,Pawcatuck
6379,2,950,34921,35510,Pawcatuck
6379,3,720,44149,44911,Pawcatuck
6379,4,500,43154,43896,Pawcatuck
6379,5,770,105721,107131,Pawcatuck
6379,6,250,99381,100739,Pawcatuck
6380,1,540,6856,6899,Norwich
6380,2,390,13840,13920,Norwich
6380,3,170,10326,10426,Norwich
6380,4,70,5904,5955,Norwich
6380,5,70,8195,8195,Norwich
6380,6,0,0,0,Norwich
6382,1,1530,19813,20126,Uncasville
6382,2,1470,53609,54079,Uncasville
6382,3,880,53612,53993,Uncasville
6382,4,600,51985,52408,Uncasville
6382,5,690,92017,92709,Uncasville
6382,6,70,19568,20094,Uncasville
